id,NUTS_NAME,name
GG,,Guernsey
GI,,Gibraltar
JE,,Jersey
IM,,Isle of Man
MC,,Monaco
VA,,Vatikan
SM,,San Marino
AD,,Andorra
FO,,Färöer-Inseln
BA,,Bosnien und Herzegowina
ES,ESPAÑA,Spanien
FI,FINLAND,Finnland
IS,ÍSLAND,Island
FR,FRANCE,Frankreich
HR,HRVATSKA,Kroatien
HU,MAGYARORSZÁG,Ungarn
AL,SHQIPËRIA,Albanien
AT,Österreich,Österreich
BE,Belgien,Belgien
BG,Bulgarien,Bulgarien
CH,Schweiz,Schweiz
CY,ΚΥΠΡΟΣ,Zypern
CZ,ČESKÁ REPUBLIKA,Tschechien
DE,DEUTSCHLAND,Deutschland
DK,DANMARK,Dänemark
EE,EESTI,Estland
EL,ΕΛΛΑΔΑ,Griechenland
IE,IRELAND,Irland
PL,POLSKA,Polen
PT,PORTUGAL,Portugal
RO,ROMÂNIA,Rumänien
RS,SRBIJA,Serbien
SE,SVERIGE,Schweden
SI,SLOVENIJA,Slowenien
SK,SLOVENSKO,Slowakei
UK,UNITED KINGDOM,Vereinigtes Königreich
IT,ITALIA,Italien
LI,LIECHTENSTEIN,Liechtenstein
LT,LIETUVA,Litauen
LU,LUXEMBOURG,Luxemburg
LV,LATVIJA,Lettland
ME,ЦРНА ГОРА,Montenegro
MK,North Macedonia,Nordmazedonien
MT,MALTA,Malta
NL,NEDERLAND,Niederlande
NO,NORGE,Norwegen